Product Type,Majestic Type,Size,Product Orientation,Shape,Stock,Radius of Corners,Coating,Lamination,Spot UV Sides,Colorspec,Drill Hole,Postage Class,Mailing Service,Remainders (Extras),Runsize
Majestic,Silk,3.5 x 4,Horizontal,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,4 x 8.5,Horizontal,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,4 x 9,Horizontal,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,6 x 8,Horizontal,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,5.5 x 8.5,Horizontal,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,6 x 9,Horizontal,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,6 x 11,Horizontal,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,2 x 8,Horizontal,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,6.5 x 9,Horizontal,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,2 x 6,Vertical,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,2 x 8,Vertical,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,4 x 8.5,Vertical,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,3.5 x 4,Vertical,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,4 x 9,Vertical,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,5.5 x 8.5,Vertical,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,2 x 4,Vertical,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
Majestic,Silk,6 x 9,Vertical,Rectangle,16PT C2S,n/a,No Coating,Silk,n/a,4/0 (4 color front),n/a,n/a,n/a,n/a,25
